Compositions,a,b,c,angle_a,angle_b,angle_c,energy,volume,steps,conv,force_conv,force
TiTm2Te4,8.727569779517465,8.745407672081376,8.746859193198862,89.8151840741274,89.80987592385694,90.21880937322985,-930.8461015709408,667.6020922747605,600,pass,pass,685.0258681359056
TiV2Te4,8.2502644172899,8.288642784321869,8.22159540014861,89.62114513807073,90.52831558902623,90.080990564172,-63247147.378691845,562.1847194272135,600,pass,fail,98376331.5577006
TiW2Te4,8.129472481251549,8.114600723101615,8.1226086995875,90.10648431310166,89.95411982308843,89.94907340309149,-1146887191.5418644,535.8262566390254,600,pass,fail,2021510916.0160472
TiY2Te4,8.51301337721473,8.491020178636258,8.494655600786453,89.83689117732767,89.94179650589798,90.07334413112036,-3158147385.7450585,614.0258053789953,600,pass,fail,1754384421.4047108
TiYb2Te4,8.083934215833654,8.088968106830096,8.08759080776518,90.00407382396412,89.93811366763391,89.99834319049948,-111629828.39065576,528.8528013532564,600,pass,fail,2060354039.1277332
TiZn2Te4,9.184874082332762,9.091616903444857,9.153142864646776,89.86382587496942,89.88986484711883,89.89222612171582,-517534535354.3704,764.3315412256243,600,pass,fail,1431503551087.454
TiZr2Te4,8.423230359943972,8.402515699159087,8.397287052847128,89.96992824589375,89.93776382270825,89.92009033827647,-3090136946961.8887,594.3281103630509,600,pass,fail,3955322451540.0137
TlAg2Te4,8.076629867521305,8.075274472932616,8.073937451489815,89.74821591914994,90.00549007332592,90.10835744137772,-1405.3051365865606,526.584270444338,600,pass,fail,2824.230014303197
TlAl2Te4,8.033543914280404,8.034540696002043,8.036068717493041,90.01552495394176,90.01934207118231,90.00870808373465,-12354509523819.06,518.6947150106047,600,pass,fail,124190692007316.3
TlB2Te4,7.311549076322779,7.26614300037649,7.268955121276734,90.1852335919536,90.52202910405704,90.35238835367856,-31188.113821792453,386.1506214845692,600,pass,fail,21788.492566467357
TlBi2Te4,8.27947006898062,8.284002587299089,8.27152825461249,90.02961456436118,90.04779899948173,89.95088332035482,-1163.5767450757876,567.3200798650881,600,pass,fail,1881.210775618296
TlCe2Te4,8.511939325049944,8.506755680216452,8.515345453814323,90.01639310044082,89.95936243177032,89.92935728496619,-33702047.628434554,616.5868993754518,600,pass,fail,40907388.61553934
TlCo2Te4,12.179896472450125,10.89137897993606,11.88842262939328,92.024927041386,89.67856906420843,88.47052221571457,-236.8917213902208,1575.488810620765,493,pass,pass,0.0499982089446925
TlCr2Te4,8.186768973398337,8.214966593803924,8.165822521921992,89.90301685150864,89.9820894543509,90.0895402723699,-58004560400.8633,549.1830178265163,600,pass,fail,318336708556.2175
TlCu2Te4,9.660274261467558,9.789677459201329,9.84563546268994,90.48170548261508,89.76236400927336,90.68619301518586,-777.2770530569312,931.0039832720132,600,pass,pass,224.75435058669092
TlDy2Te4,8.59504115630616,8.611991079629716,8.628224614243518,90.07250714931254,89.68646872023648,90.19272591956312,-7066651.945874607,638.6511186570191,600,pass,fail,6165054.826964581
TlEr2Te4,9.477978580478908,9.542821276931445,9.582022232150836,90.14884577254024,90.22897321884672,90.01542863463871,-188950.45146007976,866.651986428596,600,pass,fail,2309331.5314696115
TlEu2Te4,8.714618514461735,8.679904404910877,8.684118258950638,89.99319051571506,90.07443897243,89.970578774852,-2264790709.9786224,656.8839107642937,600,pass,fail,2037371288.3182647
TlFe2Te4,8.181464805741124,8.195011974064252,8.199558462194979,89.96881274458096,90.04834849415715,89.97314860715683,-21072867.06983507,549.7571152588912,600,pass,fail,41080480.413426585
TlGa2Te4,8.183312288588445,8.198990170011648,8.19139335332921,89.9367176861632,89.97646630849182,90.04986781030269,-221797965.4526698,549.600103457985,600,pass,fail,448621845.9321063
TlGd2Te4,8.637969312137674,8.634414848915236,8.651245763900535,89.9405528372866,90.0813294396698,89.99070043862255,-228.0658917705836,645.2418685817676,600,pass,pass,54.736584566263225
TlGe2Te4,8.023884694479765,8.016182710187774,8.027544321492902,89.9107715601177,89.90603363861447,89.97052712441568,-13662867154128.408,516.3376941492132,600,pass,fail,3635893147836.323
TlHf2Te4,8.340669599036914,8.306044831302057,8.30631040800103,89.8339569803042,90.13642348806408,89.98923397861365,-217.4882694702917,575.4403113678682,600,pass,pass,29.41439978811001
TlHo2Te4,8.54444416479396,8.531318075653852,8.536960136362156,89.9824480582746,90.03335451905994,89.92144651081226,-15012843202.216444,622.3041562523642,600,pass,fail,38571196992.59864
