Compositions,a,b,c,angle_a,angle_b,angle_c,energy,volume,steps,conv,force_conv,force
BiAu2S4,8.54710878445406,8.52022428270469,8.530046663395577,90.0295327296611,89.96192557430244,89.89362651827695,-428.68621130811806,621.1847184651876,600,pass,pass,164.96054479057418
BiB2S4,9.11973149426813,9.182583332724578,9.10517890358975,89.63909003750082,90.62519732784298,89.55155047168296,-756687987.8141732,762.4079260291197,600,pass,fail,935182885.1376376
BiBa2S4,8.131089887986468,8.144627014681182,8.15526860475824,89.78784020118742,89.81393959395271,90.1377077653366,-5011.624300958932,540.0720449287348,600,pass,fail,1275.5570970799429
BiBe2S4,8.150806113940604,8.159376563896998,8.164562088348688,89.95067219966512,89.96468455364446,90.01618955495813,-11238.093238675405,542.9879283004452,600,pass,fail,7681.102660223387
BiBi2S4,11.829719674852823,11.82971967485436,11.8297196748534,90.00000000000324,90.0000000000065,89.99999999999423,-240.8937822687196,1655.4777962011856,195,pass,pass,0.0467793566417935
BiC2S4,8.06911699984455,8.073118311786992,8.079029367693245,90.09891886874244,89.90701744928104,89.94755673058332,-9677.189017611696,526.2899955554343,600,pass,fail,2585.879192685621
BiCa2S4,8.14613695294683,8.148233180196707,8.173850570904392,89.84081111282057,90.01951282010647,90.07966466799786,-90089756.3694592,542.5499518905717,600,pass,fail,133957994.92072508
BiCd2S4,8.272045008222022,8.271593187589463,8.281680354136636,89.99404732483838,89.99079672387276,90.02920764973229,-19100.49463022097,566.6572574737291,600,pass,fail,7534.892030548648
BiCe2S4,7.982025083042398,7.9888457538104465,7.990765319845975,89.88030777336272,89.93695548281606,89.9786948010194,-281453.75745041127,509.547013042289,600,pass,fail,196530.3560556568
BiCo2S4,8.034411232912536,8.035105854192874,8.043320835914113,89.91217288179216,90.03384844185628,89.93538944963855,-9302.506681285991,519.2544046589372,600,pass,fail,1803.341771738195
BiCr2S4,8.089886640845682,8.095889841733648,8.102542901499023,89.90949677953986,89.91084535880655,89.99675719497911,-371938.3100928249,530.67337335846,600,pass,fail,819548.7590940074
BiCu2S4,8.696980695276835,8.647764346160047,8.630129296698458,90.12011755267666,90.23421871341418,90.06374664317958,-74253777.17340316,649.0599303713316,600,pass,fail,246571402.0785442
BiDy2S4,8.133973549020993,8.137089975408426,8.138554993957795,89.79256791122397,89.88570314929449,90.1098268539573,-317431.98674585635,538.6599199823689,600,pass,fail,122947.066177708
BiEr2S4,8.07754004801109,8.082123669616264,8.084373627974212,89.8895183250074,89.95332911527319,90.01725573861337,-1918.5348228168612,527.7764611673653,600,pass,pass,258.89436074330905
